1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 課題を解く時や授業で復習する時に自分が見やすいようにしておくと理解が深まりやすいと思います。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / しっかり課題を提出する
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 毎回の授業をきちんと受けていれば理解することが出来るはずです。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 遠藤先生はとても優しく、わからないことがあって手を挙げると駆けつけてくれます。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 毎週の課題プリントを忘れずに提出し、期末テスト対策として課題プリントを保管しておくように。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / わかりやすく教えてくれるので受けた方がいい
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 授業に出た課題は期限を守りつつ、提出した方が良い もし分からないなら周りか先生に聞きにいくことをお勧めする。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 課題とfit-aimだけはちゃんとやることをおすすめいたします。(単位取りたければね！)
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / ロボットアームの動作について詳しく知ることが出来ます。普段工場で見かけるロボットアームについて少しでも興味がある人は受けた方がいいと思います。力学で学んだ内容を使いますが、先生が丁寧にまとめて分かりやすく教えてくれるので、気軽に受けれる授業です。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / 課題の内容でわからなければすぐに先生に聞くことができるので質問するとよい。
1433203　ロボット工学,平均評価ポイント　　3.60,2024/12/20（金）　～　2025/01/16（木） / アンケートへご回答いただきありがとうございます。これまでの講義を踏まえて工夫した点が皆さんの理解に繋がっているようで大変嬉しく思います。課題の内容についてはよく悩むポイントですが、評価するコメントが多く、安心しました。皆さんのコメントを参考に良かったところはより伸ばしていけるようにしたいと思います。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 高校で習っていたところがあったがほとんど忘れていた
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / むずかしかったです。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / テストの点数だけてなく課題点などが欲しい
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声が小さいし、ボソボソ喋るため、聞こえにくい。 学生を馬鹿にするいい方は聞いていて気分を害するものだった。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 本当に難しかった。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 高校数学の復習、発展を学べた。「結果で示さなければ取り残される」という基本的な社会構図が身に染みて分かった。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 課題点が欲しいです
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / もう少しはっきり喋ってほしい
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 計算ミスが多かった。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / もう少しマイクの音量を大きくしてほしい
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声が小さくて内容がわからない、途中式をしっかり書いて欲しいわからないとこの式がわからなくなる
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声が小さい
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声小さすぎてわかりにくかった。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 授業がわかりやすかった
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 分かりやすかった
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / たまに何を言っているのかわからない 黒板に書いて1人で何かをしているだけ
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 授業中の声が小さく聞こえない。ボソボソ喋っているので何を言っているのか分からない。テストの点数での評価しかないが、テストのレベルが高すぎる。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声が小さくて聞こえずらかった
1411105　解析I,平均評価ポイント　　3.42,"2024/07/03（水）　～　2024/07/19（金） / 声が聞こえづらかった
抑揚がなく説明が入ってこないので自分で学ぶ力をつけることを目標として頑張れた"
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声が小さく説明が聞こえない。テスト返却がないので自分が間違ったところがわからず、解説もないためテストをする意味がなくなっている。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 声が聞き取りずらい．声を小さいならマスクを外すのが良いと思う．テスト返却がないため復習ができない．返却した方が学生のためになり良いと思う．
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 予習復習を怠らずにすること
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 試験勉強には時間をかけましょう
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 問題をしっかりと解いた方がいい。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 予習と復習の時間を大切にする。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / テストの点数でしか評価してくれません。数学に自信の無い方は予習プリントを解いておくことをオススメします。 また、授業中先生が感情を表にすることがほとんどありません。相手の気持ちが分からないことが怖く、精神に負担がかかり、ストレスに感じるかもしれません。
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 予習しないと授業についていけなくなる
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 内容はわかりやすいから頑張って
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 日々の復習が大事
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 授業中だけでなく予習復習をしないと頭いい人はいいが頭悪い人や工業生は絶対解けない
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 耳よくないと勉強すらできない
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 予習をしっかりしてください
1411105　解析I,平均評価ポイント　　3.42,"2024/07/03（水）　～　2024/07/19（金） / 予習,復習をしっかりする."
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 予習プリントをする
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 問題を解きましょう
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 数学大事．
1411105　解析I,平均評価ポイント　　3.42,2024/07/03（水）　～　2024/07/19（金） / 復習がとても大事。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 基本的な数学力が身に付いた。
1412105　解析I,平均評価ポイント　　3.40,"2024/07/03（水）　～　2024/07/19（金） / 数学３を履修したことがなかったが講義や授業資料,edupaを活用し基礎的な問題が解けるようになった"
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 公式などの詳しい説明のところなどは難しかったが，解く前に例題を出して解説をしてくれたので問題は解きやすかったと思う。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 勉強になった。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 講義は丁寧で分かりやすかったが物理的に何を言っているかわからない時が多々あるので改善してほしい。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 数学的な基礎知識を学ぶことができた。予習が難しかった。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 次回の予習プリントの例題をもっと増やしていただけるとたすかる。 プリントの答えが欲しい。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 話している声がたまに聞こえないときがあったのでもう少し声の大きさやハキハキ喋ることを考えてもらえたら有難いです。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 復習の解説が欲しい
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 授業の最後に「次の授業では〜の分野をします。予習のプリントでは、〜の分野で使う〜の計算方法について書かれているので必ず予習しておいてください」と簡単に一言だけでいいので予習プリントをするモチベーションを高めるような言葉をいただきたいです。自分自身でモチベーションを見い出せずすみません。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / テストだけでなく、課題を出して提出することでの評価点を加えて欲しい。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / もう少しわかりやすい説明をしてほしい。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / テストです全てが決まったしまうので十分テスト勉強をしておくこと。 先生は厳しいので変なことはやらかさない方が良い。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / とにかくテストを頑張ること。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 中間テストで点をとりましょう。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 一応授業資料はmy fitに出ていますが、内容が少し難しめなので、できれば毎回出席して真面目に授業を受けるのが良いと感じました。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 毎週課される予習復習問題を理解して解く
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 内容が難しいので復習と予習はしたほうがいい
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 予習復習をしましょう。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 高校時代に積分やってない人は厳しいだろうからしっかり講義を受けるようにしてほしい
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 予習はしっかりと行いましょう。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 毎講義予習復習をしっかりしないとテストで痛い目見ます。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 授業外での予習と復習の時間は多めにとっておいたほうがいい。やらなかったら後で後悔する。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 記述試験があるので、結果を暗記するのではなく過程も理解できるようにしましょう。
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / がんばれ
1412105　解析I,平均評価ポイント　　3.40,2024/07/03（水）　～　2024/07/19（金） / 予習復習をする。
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題を毎日提出せることになっていたので毎回や講義の振り返りが合法的にできてよかった。
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 計算における基礎の部分をもう一度しっかりと復習できました。
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 授業はとても分かりやすかったので、より理解を深めることが出来ました。
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 電気で使う数式などを主に教えて下さるのでとても為になりました
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題を必ず解けるようにしておくこと。
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 課題、復習に取り組むべきです。
1414102　電気基礎数学,平均評価ポイント　　3.63,2024/07/03（水）　～　2024/07/19（金） / 毎回ある宿題がとても大事です。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 課題の解説が欲しい。解き方など
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / なし
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 解説が分かりやすくて理解しやすかった。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / フェーザを用いた回路の解き方を学んだ
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 問題の解き方を詳しく教えてくれておかげで問題を解くことができた。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 分かりやすかったです
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 前期と同じく分かりやすい説明で良かった。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / もっと派手なコスプレして欲しかった
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 分かりやすい授業で良かった
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 交流回路のRCL回路の解き方が分かってよかったです。電流と電圧の間に位相差がある理由など、高校では教わらなかったので、知れてよかったです。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / しっかりとした講義をしてくださってありがとうございます。演習、解き方をしっかりと実演してくださって分かりやすかったです。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 解説も分かりやすくて、先生自体も優しい方なので中間を解析とずらして下さりとても助かりました。 テスト以外の部分の評価点も多くてとても助かりました。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 問題をとけるようになっていった
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 電気回路の電気を学ぶ上で基礎的な事を知ることが出来た。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 後期もお世話になりました
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 帽子があればグリフィンドールに入れたと思います。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / わかりやすく説明してくれて分かりやすかった。意義のある講義でしたありがとうございます。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / たのしろかった
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 授業をよく聞くように
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / なし
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 教科書の演出問題を複数解くことが大切。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 演習問題を解き、提出すること
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 電卓の使い方を覚えてください
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 宿題をしっかりと行うことが大切
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 前期で貯金が尽きた人は予習課題を毎回やった方が良い
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 課題の中身の評価もあるので答えを丸写ししたり適当にやらずしっかり取り組むといいです
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 普通科の人はおいていかれる可能性も無くはないので予習しておくといい。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / まじで普通に単位取れる
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / Moodleの振り返りはやっておいた方が良い
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / ベクトルの計算を頑張ってください。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 課題しましょう
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 出席と課題はちゃんとしよう
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 課題はコツコツやっていくのが良い
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 複素数表示を始めフェーザ表示や直交座標表示など基礎的～応用的な問題を多く解くこと
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / ちゃんと授業を聞けば大丈夫
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 課題をとりあえずちゃんとやる。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 勉強する。
1411206　電気回路II,平均評価ポイント　　3.63,2024/12/20（金）　～　2025/01/16（木） / 振り返り書くの忘れがちでした
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 難しいが今後電気工学を学んでいく上でとても大切な内容であると感じた。
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 字が大きいのでとても黒板が見やすいです。
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 授業はわかりやすいのですが、内容が難しいです。
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 教科書とプリントの内容を合わせてほしい。
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / テストの解答解説のプリントがほしい
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 日頃の予習復習を徹底してテストを頑張って下さい。
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 毎回の授業を理解しないと後半分からなくなる。
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / 休まない
1412206　解析II,平均評価ポイント　　3.21,2024/12/20（金）　～　2025/01/16（木） / がんばれ
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 教授のみではなく先輩も質問に応答してくれたりして、とても学習しやすい環境であった。
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 説明がわかりやすみ
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 内容としては、難しいものであったが理解することが出来て良かった。
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 問題を解く時間をもう少しほしいです。
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 自宅でワーク内の授業内容に即した部分を解いて理解を深めていくとよい。
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / コツコツ勉強しましょう
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 復習を進めること。
1414201　解析II,平均評価ポイント　　3.62,2024/12/20（金）　～　2025/01/16（木） / 予習復習をしっかりすべきです。
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 今年からTAがいてくれてよかった
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 力学と曜日をずらして欲しい
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / あと残りの学校生活でこの単位が取れると思いません。
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / テストと講義の難易度の差が激しい。テスト返却されないとどの分野ができていないか確認できない。研究室に貼り付けてあるだけで何ができていないのかわかるわけがありません。
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 適度に小テストや中間テストがあり、気を緩めずに取り組める所が良かったです
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 特になし
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 計画的に勉強していった方がいい
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 覚悟してください。
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 正規で合格できることはほぼない
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 内容は積分なので、解析Ⅱの内容である微分より難易度は高いです。なので、予習復習をしっかりと取り組んでおいて下さい。
1421109　解析III,平均評価ポイント　　3.18,2024/07/03（水）　～　2024/07/19（金） / 大変だけど頑張ってください
1422109　解析III,平均評価ポイント　　3.44,2024/07/03（水）　～　2024/07/19（金） / 解析Ⅲの授業を終えてテストがあまり良くなかったので、予習、復習は大事だと改めて感じました。
1422109　解析III,平均評価ポイント　　3.44,2024/07/03（水）　～　2024/07/19（金） / 小テストなどによって積分の公式など理解できた
1422109　解析III,平均評価ポイント　　3.44,2024/07/03（水）　～　2024/07/19（金） / 復習することで内容を理解出来て良かった。
1422109　解析III,平均評価ポイント　　3.44,2024/07/03（水）　～　2024/07/19（金） / 予習復習を毎回取り組もう
1422109　解析III,平均評価ポイント　　3.44,2024/07/03（水）　～　2024/07/19（金） / 見直しを怠らないようにする
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 講義の終わりに小テストがあるので要点などを再確認できた。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / ミニテストがあるおかげで毎授業の振り返りをすることができた
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / わかりやすかったです。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / とても分かりやすかったです
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 講義後に小テストがあったので理解が深まった。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 理解することが出来た
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 分かりやすかった。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / いろいろな公式と触れ合うことができた。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / わかりやすい授業だった
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 分かりやすかったです
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / とても勉強になりました。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 学んだことをその日のうちで小テストで確認できるのでよかったです。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電気の機器や物理学を応用した機器の説明など、幅広い知識を学ぶことができた。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電気の分野に関する、専門的な知識や、数学的なスキルを学ぶことが出来た。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 様々な話を聞けて有意義でした。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 授業で学んだことを自分で理解しているかを授業終わりの小テストで確認することができた。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 書くだけでなく映像やスライドも使っていて分かりやすかった
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 特に無いです。小テスト形式で復習できたので勉強した内容がかなり頭に残りました。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / よかった
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / スライドと小テストを用いることでとてもわかりやすく覚えやすかったです。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / ないです
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / すごい
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 小テストの解説やプリントでの解説などがあったので分かりやすかった
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電気を使った製品は様々なところで使われていてどういう原理なのかを理解することができた
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電験の勉強になるので良かったです
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 期待していた以上の授業でした、ただ、式や成り立ちをなんとなく説明する教授と違い、実際にどのように使われているのか、この式との違いはなぜ出るのかなどをわかりやすく、映像を混じえてくれるためかなり理解しやすいです。テストに関しても、引っ掛けるための問題ではなく、授業中に解いた問題に近いのが半分、時期から考えたらわかる問題と、ある程度真面目に取り組めばわかる問題でとても有意義な講義でした。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 授業資料を公開して欲しい
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 私は電気応用の講義を振り返って、電気に関わるものについてより深く学ぶことができました。このことを電験に活かしていきたいです。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電気応用はとても面白い授業で小テストもそんな難しくないとてもいい授業でした。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 具体例をあげて説明してくれてわかりやすかった。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 授業の方法は学びやすかったです。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 授業が終わったあとに小テストがあるので復習ができて学習しやすい。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電気応用について学ぶことが出来た。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電気応用の授業内容が電験三種機械の電熱、照明、電気化学、電動機応用と、重なることが多かった。このことから、電気応用の学びと電験三種機械分野の学習の意欲に繋がった。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / ミニテストをしっかりと受ける
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 小テストは忘れないようにするべき
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / ノートをしっかりとりましょう
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 小テストが大切。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 小テストなどを頑張るといい。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / テストが難しいので頑張ってください。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 小テスト頑張りましょう
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 電源の過去問をしっかり解いてください。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 講義内容をしっかりノートにまとめましょう。
1423204　電気応用,平均評価ポイント　　3.61,2024/12/20（金）　～　2025/01/16（木） / 小テストが毎回授業の終わりにあるので気をつける。
