講義名,平均評価ポイント,自由記述,感情スコア,ポジティブ表現,ネガティブ表現
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,小テストがあるのでしっかり復習しましょう。,-0.113369664,,"小(-0.54), テスト(-0.34), 復習(-0.10), ましょう(-0.27)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,メモをちゃんと取ることと、テストが持ち込み不可でも大丈夫ならいいと思います。,-0.11602605,,"メモ(-0.46), ちゃんと(-0.28), と(-0.22), テスト(-0.34), 不可(-0.13), と(-0.22), 思い(-0.68)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,特になし,0,,
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,メモは忘れずにしましょう。,-0.09122475,,"メモ(-0.46), ましょう(-0.27)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,メモをすることで小テストでいい点が取れます,-0.152762231,,"メモ(-0.46), 小(-0.54), テスト(-0.34), 点(-0.65)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,教科書通りに進みました。,-0.120656857,,"教科書(-0.32), 通り(-0.53)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,小テストをしっかり点を取る,-0.218089286,,"小(-0.54), テスト(-0.34), 点(-0.65)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,テストをする,-0.112722667,,テスト(-0.34)
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,小テストを必ず受験する。,-0.233217714,,"小(-0.54), テスト(-0.34), 必ず(-0.53), 受験(-0.23)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,ミニテストが大事です！,-0.00422948,,大事(-0.02)
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,メモをしっかり取ることが重要です。,-0.125601556,,"メモ(-0.46), 重要(-0.67)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,小テストで点数取れないとほんとに落ちます。,-0.232797167,,"小(-0.54), テスト(-0.34), 点数(-0.48), ない(-1.00), と(-0.22), 落ち(-0.22)"
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,ノートを書いておくことが大切,-0.041472375,,ノート(-0.33)
1923206　マーケティング論Ⅱ,平均評価ポイント　　3.58,授業の運営については、問題ないようですが、講義内容と使用テキストの内容が相当不足していますので、次年度以降、変更と充実を検討いたします。,-0.188807826,充実(0.02),"授業(-0.41), 運営(-0.26), つい(-0.55), 問題(-0.72), ない(-1.00), 講義(-0.43), 内容(-0.85), と(-0.22), テキスト(-0.32), 内容(-0.85), 相当(-0.06), 不足(-1.00), 以降(-0.57), 変更(-0.19), と(-0.22), 検討(-0.33)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,作文能力がついた,-0.2347354,,"作文(-0.33), 能力(-0.29), つい(-0.55)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,とても難しかったです。テスト頑張りたいと思います。,-0.116807167,,"とても(-0.17), テスト(-0.34), と(-0.22), 思い(-0.68)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,説明がわかりにくくて、時間の使い方があまり上手に回せていない,-0.102443118,上手(0.99),"説明(-0.78), 時間(-0.95), ない(-1.00)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,毎週授業ありがとうございます,-0.0811614,,授業(-0.41)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,大変わかりやすい講義をありがとうございました。,-0.0796103,,"大変(-0.37), 講義(-0.43)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,内容が難しいが、わかりやすい授業だった。,-0.205107091,,"内容(-0.85), 難しい(-1.00), 授業(-0.41)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,今までありがとうございました,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,戦略や各企業の取り組みなどを講義を通して知ることが出来ました。,-0.161607889,,"戦略(-0.68), や(-0.28), 講義(-0.43), 通し(-0.45), 知る(-0.42), 出来(-0.65)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,企業や組織が持続的な競争優位性を確立し、目標を達成するための戦略を分析・立案・実行しながら学ぶことが出来た。,-0.190145767,,"企業(-0.59), や(-0.28), 組織(-0.95), 競争(-0.47), 確立(-0.05), 目標(-0.67), 達成(-0.15), 戦略(-0.68), 分析(-0.40), 立案(-0.35), 実行(-0.50), 学ぶ(-0.55), 出来(-0.65)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ありません,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,楽しかったです。,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,よく学べた,0.307288667,よく(0.92),
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,半年間ありがとうございました。,-0.177579429,,"半年(-0.44), 間(-0.80)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,とても分かりやすく、経営戦略論について学ぶことが出来ました,-0.167635067,,"とても(-0.17), 経営(-0.60), つい(-0.55), 学ぶ(-0.55), 出来(-0.65)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,丁寧に教えてくださりありがとうございました。,-0.0921716,,"丁寧(-0.65), 教え(-0.27)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,テストの振り返りが分かりやすかったです,-0.042271,,テスト(-0.34)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ありがとうございました,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,普段使っている企業が講義内でよく出てきていたので身近で経営について考えやすかった,-0.132165556,よく(0.92),"企業(-0.59), 講義(-0.43), 内(-0.97), 出(-0.43), 経営(-0.60), つい(-0.55), 考え(-0.93)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ミニテストがあったのだそこで復習できたのでよかったです,-0.006247144,,復習(-0.10)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,動画などを見れて面白かった,-0.029993571,,動画(-0.21)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,充実した授業ありがとうございました。,-0.043213989,充実(0.02),授業(-0.41)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ありがとうございました,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,動画などを見ながら実際の意見を聞くことができてすごくよかったです。,-0.138277632,,"動画(-0.21), 実際(-0.84), 意見(-0.86), 聞く(-0.71)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,企業の経営戦略について学ぶことができた。,-0.227902846,,"企業(-0.59), 経営(-0.60), 戦略(-0.68), つい(-0.55), 学ぶ(-0.55)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,一年生の時に学習した経営学概論より詳しく経営について学ぶことができた。,-0.156854273,,"時(-0.75), 学習(-0.45), 概論(-0.55), 経営(-0.60), つい(-0.55), 学ぶ(-0.55)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,レジュメを毎回配布して頂けるので、大事な箇所に線を引きながら学ぶことが出来てありがたかったです。,-0.100064089,頂ける(0.37),"レジュメ(-0.42), 配布(-0.33), 大事(-0.02), 箇所(-0.72), 引き(-0.38), 学ぶ(-0.55), 出来(-0.65)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,丁寧に具体例を用いて説明してくれて分かりやすかった。,-0.095183467,,"丁寧(-0.65), 説明(-0.78)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,実際の事例や、ビデオなどと合わせて学習ができ、とても分かりやすかったです。,-0.12818495,,"実際(-0.84), 事例(-0.30), や(-0.28), ビデオ(-0.31), と(-0.22), 学習(-0.45), とても(-0.17)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,動画など分かりやすかったです。,-0.029993571,,動画(-0.21)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,カンブリア宮殿は自分も休日見るため知っている話もありました。これと経営戦略が繋がっていたことが発見につながりました。,-0.101102,,"宮殿(-0.33), 休日(-0.31), 話(-1.00), と(-0.22), 経営(-0.60), 戦略(-0.68), 発見(-0.31)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,講義だけではなく動画などを通して考えていくことで飽きることなく、取り組めたと思います。,-0.14661052,,"講義(-0.43), 動画(-0.21), 通し(-0.45), 考え(-0.93), 飽きる(-0.76), と(-0.22), 思い(-0.68)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ありがとうございました。,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,経営戦略を実際の企業を例に挙げて説明されたので、とても分かりやすかった。,-0.24194387,,"経営(-0.60), 戦略(-0.68), 実際(-0.84), 企業(-0.59), 例(-0.97), 説明(-0.78), さ(-0.94), とても(-0.17)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,各企業が行っている経営戦略はどのように行われているのか、どのようなメリットがありどのようなリスクがあるのかしれました。また、知っている企業の戦略について、ビデオで知れて興味深かったです。,-0.073047396,メリット(0.99),"経営(-0.60), 戦略(-0.68), リスク(-0.99), 企業(-0.59), 戦略(-0.68), つい(-0.55), ビデオ(-0.31), 興味(-0.47)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,時間内に終わるようにして欲しいです。,-0.246663,,"時間(-0.95), 内(-0.97), 欲しい(-0.80)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ありがとうございました。,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,特にない,-0.4999985,,ない(-1.00)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,一年間ありがとうございます,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,世界の経営戦略について知ることができ様々なさわりゃがあると知ることができた。,-0.159650304,,"世界(-0.79), 経営(-0.60), 戦略(-0.68), つい(-0.55), 知る(-0.42), と(-0.22), 知る(-0.42)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,テストをすることで授業内容が振り返れた。,-0.144962909,,"テスト(-0.34), 授業(-0.41), 内容(-0.85)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ありがとうございました,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,いろんな企業の話が聞けて面白かった,-0.176294,,"企業(-0.59), 話(-1.00)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,わかりやすかったです,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,一つ一つ説明が分かりやすかった,-0.086259778,,説明(-0.78)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,毎授業レジュメを配っていただけるので勉強しやすかったです,-0.077498357,,"授業(-0.41), レジュメ(-0.42), 勉強(-0.26)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,お疲れ様でした,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,テスト対策問題が欲しい,-0.4545036,,"テスト(-0.34), 対策(-0.42), 問題(-0.72), 欲しい(-0.80)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,履修を進める,-0.309135333,,"履修(-0.59), 進める(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,持ち込み不可のテストがあります。経営コースはコース必修で、授業内小テストは持ち込み可ですが話し合いは不可です。 個人的には難しいなと感じました。,-0.17057315,,"不可(-0.13), テスト(-0.34), 経営(-0.60), コース(-0.51), コース(-0.51), 必修(-0.16), 授業(-0.41), 内(-0.97), 小(-0.54), テスト(-0.34), 不可(-0.13), 難しい(-1.00), と(-0.22), 感じ(-0.97)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,授業をしっかり受けること,-0.2741868,,"授業(-0.41), 受ける(-0.97)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,出席をきちんとする。,0.1394178,きちんと(0.98),出席(-0.28)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,レジュメをしっかり読んで内容を把握しましょう。,-0.170195,,"レジュメ(-0.42), 内容(-0.85), 把握(-0.33), ましょう(-0.27)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,頑張って,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストで出来るだけ高得点を取り続けることで後々自分が楽になります！,-0.0787215,楽(0.28),"小(-0.54), テスト(-0.34), 続ける(-0.82)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストを点数取る。,-0.225896667,,"小(-0.54), テスト(-0.34), 点数(-0.48)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,話を聞く,-0.570133333,,"話(-1.00), 聞く(-0.71)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,講義をよく聞く。,-0.0437228,よく(0.92),"講義(-0.43), 聞く(-0.71)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストはしっかりと受けよう,-0.182065167,,"小(-0.54), テスト(-0.34), と(-0.22)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,コツコツ頑張ったください。,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストを頑張りましょう,-0.2294224,,"小(-0.54), テスト(-0.34), ましょう(-0.27)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストを頑張る。,0.0210212,頑張る(0.98),"小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,テスト勉強頑張ってください,-0.1195364,,"テスト(-0.34), 勉強(-0.26)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,頑張ってください,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,ちゃんと毎回講義に出て小テストうけてください！,-0.167903583,,"ちゃんと(-0.28), 講義(-0.43), 出(-0.43), 小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,特にないです,-0.333332333,,ない(-1.00)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,しっかりと出席して小テストを受けること,-0.2340396,,"と(-0.22), 出席(-0.28), 小(-0.54), テスト(-0.34), 受ける(-0.97)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テスト大事,-0.299248467,,"小(-0.54), テスト(-0.34), 大事(-0.02)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストしっかり勉強しよう。,-0.189352,,"小(-0.54), テスト(-0.34), 勉強(-0.26)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストがあるので毎回の授業をしっかり受けたほうがいい,-0.091231313,,"小(-0.54), テスト(-0.34), 授業(-0.41), 受け(-0.18)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,頑張ってください,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,しっかりと小テストを受けること,-0.293931143,,"と(-0.22), 小(-0.54), テスト(-0.34), 受ける(-0.97)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,2回に1回あるテストはレジュメを読み込むことで満点が取れる,-0.191581344,,"回(-0.72), 回(-0.72), テスト(-0.34), レジュメ(-0.42), 満点(-0.08), 取れる(-0.78)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,授業内容をその都度理解し、小テストに取り組んでください。,-0.197473533,,"授業(-0.41), 内容(-0.85), 都度(-0.52), 理解(-0.31), 小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,プリントに口頭で説明されたことをきちんとメモしてください。ビデオがある場合はその内容もメモしておくと良いと思います。,-0.140225647,"きちんと(0.98), 良い(1.00)","プリント(-0.42), 口頭(-0.52), 説明(-0.78), さ(-0.94), メモ(-0.46), ビデオ(-0.31), 場合(-0.91), 内容(-0.85), メモ(-0.46), と(-0.22), と(-0.22), 思い(-0.68)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,"2回に1回,偶数回の授業で小テストがあります。",-0.2450465,,"回(-0.72), 回(-0.72), 数(-0.97), 回(-0.72), 授業(-0.41), 小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,テスト頑張りましょう,-0.202894,,"テスト(-0.34), ましょう(-0.27)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,面白い,0.989199,面白い(0.99),
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,頑張りましょう！,-0.090171333,,ましょう(-0.27)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,特にありません,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストがあるのでしっかり復習しましょう。,-0.113369664,,"小(-0.54), テスト(-0.34), 復習(-0.10), ましょう(-0.27)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,2回に1回小テストがあるので、偶数回は前の授業の資料持ってきておくといいです。出来れば全部の回持ってきておくと更にいいです。前の回とかもっと前の回に書いてあったようなことが出題される可能性もあるので、資料をよく読んで答えたら、あまり間違わないと思います。,-0.143744686,よく(0.92),"回(-0.72), 回(-0.72), 小(-0.54), テスト(-0.34), 数(-0.97), 回(-0.72), 授業(-0.41), 資料(-0.38), と(-0.22), 全部(-0.85), 回(-0.72), と(-0.22), 更に(-0.89), 回(-0.72), と(-0.22), もっと(-0.24), 回(-0.72), 出題(-0.16), さ(-0.94), 可能性(-0.33), 資料(-0.38), ない(-1.00), と(-0.22), 思い(-0.68)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストを頑張る,0.0262765,頑張る(0.98),"小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,経営戦略についてしっかり学べます,-0.22825825,,"経営(-0.60), 戦略(-0.68), つい(-0.55)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,特にない,-0.4999985,,ない(-1.00)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,課題提出 授業出席,-0.2952618,,"課題(-0.40), 提出(-0.39), 授業(-0.41), 出席(-0.28)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストが大事だと思います。,-0.199132933,,"小(-0.54), テスト(-0.34), 大事(-0.02), と(-0.22), 思い(-0.68)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,テストを頑張る。,0.160884,頑張る(0.98),テスト(-0.34)
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストを真剣に取り組みましょう,-0.163126454,真剣(0.01),"小(-0.54), テスト(-0.34), ましょう(-0.27)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,特になし,0,,
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストは絶対に！,-0.209989833,,"小(-0.54), テスト(-0.34), 絶対(-0.38)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストを頑張る,0.0262765,頑張る(0.98),"小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,授業をしっかり聞くことが大切,-0.159899857,,"授業(-0.41), 聞く(-0.71)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テスト頑張ろう！,-0.2191495,,"小(-0.54), テスト(-0.34)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,小テストをしっかり受ける,-0.368345,,"小(-0.54), テスト(-0.34), 受ける(-0.97)"
1923210　経営戦略論Ⅰ,平均評価ポイント　　3.58,競争戦略に関する理解が一層深まり、講義目標が達成できたようで嬉しいです。身の回りの企業を取り上げ、それに授業内容を適用してみると、さらに理解が進むでしょう。期末試験には小テストの一部も出題しますので、講義資料とともに小テストの復習を行ってください。,-0.15036044,"嬉しい(1.00), 期末(0.01)","競争(-0.47), 戦略(-0.68), 関する(-0.31), 理解(-0.31), 一層(-0.16), 講義(-0.43), 目標(-0.67), 達成(-0.15), 身の回り(-0.53), 企業(-0.59), 授業(-0.41), 内容(-0.85), 適用(-0.46), と(-0.22), 理解(-0.31), 進む(-0.89), 試験(-0.47), 小(-0.54), テスト(-0.34), 一部(-0.90), 出題(-0.16), 講義(-0.43), 資料(-0.38), と(-0.22), 小(-0.54), テスト(-0.34), 復習(-0.10)"
1933207　環境管理論,平均評価ポイント　　3.80,環境などについて詳しく学べた,-0.144512625,,"環境(-0.61), つい(-0.55)"
1933207　環境管理論,平均評価ポイント　　3.80,この講義では、環境の詳しい内容について学ぶことができた。,-0.112060833,詳しい(0.96),"講義(-0.43), 環境(-0.61), 内容(-0.85), つい(-0.55), 学ぶ(-0.55)"
1933207　環境管理論,平均評価ポイント　　3.80,この授業を通して、大気環境、水環境、廃棄物処理・循環型社会形成について詳しく学ぶことができ、我々個人や企業が環境のためにどんなことが求められているのかが理解できた。,-0.187392392,,"授業(-0.41), 通し(-0.45), 大気(-0.44), 環境(-0.61), 環境(-0.61), 処理(-0.70), 循環(-0.67), 型(-0.70), 社会(-0.82), 形成(-0.48), つい(-0.55), 学ぶ(-0.55), 個人(-0.79), や(-0.28), 企業(-0.59), 環境(-0.61), 理解(-0.31)"
1933207　環境管理論,平均評価ポイント　　3.80,環境に興味がある人はおすすめです,-0.119508556,,"環境(-0.61), 興味(-0.47)"
1923102　環境水文学,平均評価ポイント　　3.43,課題をしっかりこなし、授業に集中できた,-0.1270423,,"課題(-0.40), 授業(-0.41), 集中(-0.47)"
1923102　環境水文学,平均評価ポイント　　3.43,Excelを使った問題を丁寧に教わりました。ありがとうございました。若干、何言ってるかわからない点があったので、そこが苦でした。,-0.105646237,,"問題(-0.72), 丁寧(-0.65), ない(-1.00), 点(-0.65), 苦(-1.00)"
1923102　環境水文学,平均評価ポイント　　3.43,水の重要性や危険性について深く知ることができた。またいま切れな」水を飲むことができていることに感謝しようと思った。,-0.073716081,,"や(-0.28), つい(-0.55), 知る(-0.42), 切れ(-0.14), 飲む(-0.96), 感謝(-0.09), と(-0.22)"
1923102　環境水文学,平均評価ポイント　　3.43,グラフの作り方などが難しくついていくのでいっぱいいっぱいでした。,-0.062094063,,"グラフ(-0.45), つい(-0.55)"
1923102　環境水文学,平均評価ポイント　　3.43,水文学について詳しく学ぶことができてよかったです,-0.084046077,,"つい(-0.55), 学ぶ(-0.55)"
1923102　環境水文学,平均評価ポイント　　3.43,水の仕組みについて詳しく知ることができた。,-0.074439923,,"つい(-0.55), 知る(-0.42)"
1923102　環境水文学,平均評価ポイント　　3.43,授業資料は早めに配布してほしいです。,-0.101170818,,"授業(-0.41), 資料(-0.38), 配布(-0.33)"
1923102　環境水文学,平均評価ポイント　　3.43,特になし,0,,
1923102　環境水文学,平均評価ポイント　　3.43,災害の起こり方について知れた,-0.248762556,,"災害(-0.75), 方(-0.94), つい(-0.55)"
1923102　環境水文学,平均評価ポイント　　3.43,専門的なことをしれて、水文学についてしっかり向き合い学ぶことが出来ました。ありがとうございました。,-0.06979896,,"つい(-0.55), 学ぶ(-0.55), 出来(-0.65)"
1923102　環境水文学,平均評価ポイント　　3.43,標高や流速など、普段じゃ見ることもない様々な計算を知ることができました。 ありがとうございました。,-0.102122071,,"標高(-0.30), や(-0.28), ない(-1.00), 計算(-0.86), 知る(-0.42)"
1923102　環境水文学,平均評価ポイント　　3.43,環境について理解した,-0.208972857,,"環境(-0.61), つい(-0.55), 理解(-0.31)"
1923102　環境水文学,平均評価ポイント　　3.43,むずかしい,0,,
1923102　環境水文学,平均評価ポイント　　3.43,水文学という新しい分野は楽しかった。 計算問題は意外と難しかったので、復習が必須だと感じた。,-0.118573189,新しい(0.89),"と(-0.22), 分野(-0.30), 計算(-0.86), 問題(-0.72), 意外(-0.62), と(-0.22), 復習(-0.10), と(-0.22), 感じ(-0.97)"
1923102　環境水文学,平均評価ポイント　　3.43,水について様々な発見があって面白かったです。,-0.061058571,,"つい(-0.55), 発見(-0.31)"
1923102　環境水文学,平均評価ポイント　　3.43,課題が難しかった,-0.0987995,,課題(-0.40)
1923102　環境水文学,平均評価ポイント　　3.43,降水量などの求め方やその他の計算方法など今まで知らなかった知識を学ぶことができてよかった。,-0.09124132,,"降水量(-0.40), 方(-0.94), や(-0.28), 知識(-0.12), 学ぶ(-0.55)"
1923102　環境水文学,平均評価ポイント　　3.43,河川やダムといった水に関わる事を学べました。水災害についても学べたので防災に繋がる知識になると思いました。,-0.158486694,,"河川(-0.46), や(-0.28), ダム(-0.51), と(-0.22), 事(-0.94), 災害(-0.75), つい(-0.55), 防災(-0.26), 繋がる(-0.73), 知識(-0.12), と(-0.22), 思い(-0.68)"
1923102　環境水文学,平均評価ポイント　　3.43,ありがとうございました,0,,
1923102　環境水文学,平均評価ポイント　　3.43,分かりやすかったです,0,,
1923102　環境水文学,平均評価ポイント　　3.43,水に関するさまざまな問題について調べたり、知ることができたりしてとてもよかったです。,-0.112174875,,"関する(-0.31), 問題(-0.72), つい(-0.55), 調べ(-0.53), 知る(-0.42), とても(-0.17)"
1923102　環境水文学,平均評価ポイント　　3.43,環境について学べたので良かった,-0.1156101,,"環境(-0.61), つい(-0.55)"
1923102　環境水文学,平均評価ポイント　　3.43,少しペースが早かったです。,-0.175046,,"少し(-0.97), ペース(-0.25)"
1923102　環境水文学,平均評価ポイント　　3.43,わかりやすかったです。,0,,
1923102　環境水文学,平均評価ポイント　　3.43,計算やグラフの作成が難しかったです。,-0.2025294,,"計算(-0.86), や(-0.28), グラフ(-0.45), 作成(-0.44)"
1923102　環境水文学,平均評価ポイント　　3.43,ありがとうございました。,0,,
1923102　環境水文学,平均評価ポイント　　3.43,授業資料があって分かりやすかった,-0.098316,,"授業(-0.41), 資料(-0.38)"
1923102　環境水文学,平均評価ポイント　　3.43,大学で1番学びたかった内容を勉強できて楽しかったです。特に反対運動が起こるような問題を知ることで、人が住みやすい場所にするためには環境への配慮、近隣住民の理解が大事なんだと改めて実感しました。,-0.132776295,配慮(0.05),"大学(-0.34), 内容(-0.85), 勉強(-0.26), 反対(-0.88), 運動(-0.81), 問題(-0.72), 知る(-0.42), 場所(-0.99), 環境(-0.61), 近隣(-0.51), 住民(-0.49), 理解(-0.31), 大事(-0.02), と(-0.22), 改めて(-0.29), 実感(-0.17)"
1923102　環境水文学,平均評価ポイント　　3.43,水に関する問題について知ることができ、これからの対策について考えることもできて良かったと思います。,-0.158039233,,"関する(-0.31), 問題(-0.72), つい(-0.55), 知る(-0.42), 対策(-0.42), つい(-0.55), 考える(-0.88), と(-0.22), 思い(-0.68)"
1923102　環境水文学,平均評価ポイント　　3.43,水環境に興味があり、水環境について学べて良かったです。,-0.123982111,,"環境(-0.61), 興味(-0.47), 環境(-0.61), つい(-0.55)"
1923102　環境水文学,平均評価ポイント　　3.43,とても興味深い内容でした,-0.247471,,"とても(-0.17), 興味(-0.47), 内容(-0.85)"
1923102　環境水文学,平均評価ポイント　　3.43,何を喋っているのかも伝わりにくかったし、ひとつ一つの授業のスピードが早く質問等もする時間がないのでとても難しかった。課題だけ多く、なんの意味があるのだろうと思ってしまった。,-0.11932683,,"授業(-0.41), スピード(-0.18), 質問(-0.72), 等(-0.56), 時間(-0.95), ない(-1.00), とても(-0.17), 課題(-0.40), 多く(-0.88), 意味(-0.85), と(-0.22)"
1923102　環境水文学,平均評価ポイント　　3.43,できればテストは1週間空けずに7月中に終わらせて欲しかったです。,-0.1240369,,"テスト(-0.34), 週間(-0.25), 月(-0.91), 中(-0.98)"
1923102　環境水文学,平均評価ポイント　　3.43,"基本的にレジュメ通りに講義は進んでいきます。講義内容でExcelを使ったものは、頑張って追いついていってください。
結構ややこしいので。

それと、「環境すいもん学」ってことを覚えておきましょう。　「環境すいぶん学」って覚えいないように。単位がもらえないらしいので（笑）",-0.103666269,"結構(0.61), 笑(0.96)","レジュメ(-0.42), 通り(-0.53), 講義(-0.43), 講義(-0.43), 内容(-0.85), ややこしい(-0.99), と(-0.22), 環境(-0.61), 学(-0.36), 覚え(-0.34), ましょう(-0.27), 環境(-0.61), 学(-0.36), 覚え(-0.34), ない(-1.00), 単位(-0.92), ない(-1.00)"
